name,short_name,id,dataset_id
Painkart25,Pain25k,cfc0907b-cb9f-4fa8-b523-56edb4bb4e54,d7abe09e05cf0a21f3dbdb2ad7d8ad29--painkart25
Charleston Speedway,CharlestonIL,7182d36a-439c-4c65-b5ec-33f465d9aa26,08f32582f5eb77f73be1a63db543caba--charleston-speedway
Road America Karting Club Oval,Road Amer Ka,1c96e4c8-b6dc-4c64-bf0b-f7af7e0119f7,c8aa09019e9c86bb7dfb8bfe19ca8e13--road-america-karting-club-oval
Farmington Dragway,FarmingtonDW,8c74f27a-10a3-4d6f-8586-4490b85299ad,c1255af94752a7d07c74683fcbdc2d15--farmington-dragway
Rockford Speedway,RockfordS,baab75ff-b90c-4cc6-8e4d-9001994ffd61,7b0eb95ca4726aef99d19278dd457430--rockford-speedway
Clark International Speedway,CIS,e8408afc-9689-4d68-99ab-9e70467bc18a,8f03129ee12af5ab96838f8c8caf8243--clark-international-speedway
Carmona Racing Circuit,CRC Short,5470d281-08db-4845-b97b-7afd6b7e810d,85573edc54346351164a5530711ec0f4--carmona-racing-circuit
Igora Drive,IgoraK CW,c46d507c-b8f6-405d-915a-ec1f42fc364b,6f3cca84d67300d878c58e805532e05d--igora-drive
81 Speedway,Park City,f1d580ac-1efc-4bed-b99a-3edd6aa829b2,92f85eb2896b4a02f222276c66f32f16--81-speedway
Circuit de karting du Bassin d'Arcachon - Topgun Evasion,TopgunK V2,2025ae69-360d-46ed-8c15-fb8218811a4f,5da9357cd8b4c26a0a7ab426eae9620a--circuit-de-karting-du-bassin-d-arcachon-topgun-evasion
Fonda Speedway,FondaS,d2db36d5-c466-434c-8492-87f628214a21,0c62f6ec8ebff087f86b7bd062fce6f6--fonda-speedway
Woodsfield,Woodsfield,609e12d8-7395-4495-b2f5-ad51c0be6ffc,aeaa11882591735b20d1ab73d3616545--woodsfield
Kartodromo Pista Paradiso,ParadisoK,27376c77-469f-488a-b306-dab1853b5d0d,5d12582030785aae23b386c0b34bf8e0--kartodromo-pista-paradiso
Spokane County Raceway,Spokane WA,982d51bc-1c25-48cc-a821-042b8dd69a00,f43f0883b143a62bb798359a04643410--spokane-county-raceway
Tattershall Karting Centre,Tattershall1,d536bf61-8fe2-4077-816c-f4e891a4dff8,4d377b28d5af70d719957af180797e6c--tattershall-karting-centre
